Row Labels,Sum of Sum of total_minutes
Africa Magic,-57054777070
Boomerang,-47423875604
Break in transmission,-4383719947
Cartoon Network,-52671055785
Channel O,-69740988435
CNN,-33542095933
DStv Events 1,-7106939710
E! Entertainment,-24376137781
Grand Total,-6.642E+11
ICC Cricket World Cup 2011,-97305275272
kykNET,-2988899838
Live on SuperSport,-132839995.3
MK,-2125439959
M-Net,-7704719766
Sawsee,-16937099375
SuperSport Blitz,-59512314559
SuperSport Live Events,-1.1039E+11
Trace TV,-63231828485
Vuzu,-7372619914
Wimbledon,-199259999.5
Grand Total,-1.3284E+12
